temp_2013,temp_2014,temp_2015,irrad_2013,irrad_2014,irrad_2015
27.1,36.5,27.3,52,126,43
27.3,35.4,27.7,49,113,38
27.3,34.8,27.7,42,98,30
27.3,34.2,28,33,76,23
27.1,33.4,27.9,25,64,19
27,32.7,27.7,20,58,13
26.9,32.1,27.7,20,49,6
26.9,31.6,27.6,17,40,6
26.9,31.2,27.5,10,32,6
26.8,31.2,27.3,4,32,4
26.8,30.4,27.2,2,14,3
26.7,30,27.1,0,8,1
26.7,30,26.9,0,4,0
26.6,29.5,26.7,0,0,0
26.5,29.1,26.6,0,0,0
26.4,28.4,26.6,0,0,0
26.3,28.1,26.5,0,0,0
26.3,28.1,26.5,0,0,0
26.2,27.6,26.4,0,0,0
26.2,27.4,26.3,0,0,0
26.2,27.2,26.2,0,0,0
26.2,27.2,26.2,0,0,0
26.2,27,26.1,0,0,0
26.2,26.9,25.9,0,0,0
26.1,26.8,25.9,0,0,0
26.1,26.8,26.1,0,0,0
26,26.6,26.3,0,0,0
25.9,26.5,26.5,0,0,0
25.8,26.5,26.4,0,0,0
25.7,26.5,26.3,0,0,0
25.5,26.4,26.3,0,0,0
25.4,26.4,26.3,0,0,0
25.4,26.4,26.4,0,0,0
25.4,26.4,26.4,0,0,0
25.3,26.2,26.5,0,0,0
25.2,26.1,26.5,0,0,0
25.1,26.1,26.5,0,0,0
25.2,26.1,26.5,0,0,0
25.4,26.1,26.5,0,0,0
25.4,26.1,26.6,0,0,0
25.4,26.1,26.6,0,0,0
25.4,26,26.5,0,0,0
25.5,25.9,26.4,0,0,0
25.5,26,26.3,0,0,0
25.4,25.9,26.1,0,0,0
25.3,25.9,26,0,0,0
25.3,25.9,25.9,0,0,0
25.2,25.9,25.7,0,0,0
25.2,25.9,25.5,0,0,0
25.2,25.9,25.4,0,0,0
25.2,25.9,25.1,0,0,0
25.1,25.9,24.9,0,0,0
25.1,26,24.7,0,0,0
25.1,26.2,24.6,0,0,0
25,26.3,24.6,0,0,0
24.9,26.1,24.7,0,0,0
24.9,26,24.8,0,0,0
24.9,25.8,24.8,0,0,0
24.8,25.7,24.7,0,0,0
24.8,25.6,24.7,0,0,0
24.8,25.5,24.8,0,0,0
24.8,25.5,24.8,0,0,0
24.7,25.5,24.6,0,0,0
24.6,25.5,24.6,0,0,0
24.6,25.5,24.7,0,0,0
24.9,25.6,24.6,0,0,0
24.9,25.6,24.7,0,0,0
24.7,26.2,24.6,0,0,0
24.6,26.3,24.7,0,0,0
24.6,26.2,24.7,0,0,0
24.6,26.2,24.5,0,0,0
24.6,25.9,24.5,0,0,0
24.6,25.8,24.5,0,0,0
24.7,25.7,24.4,0,0,0
24.6,25.6,24.3,0,0,0
24.7,25.6,24.3,0,0,0
24.6,25.5,24.3,0,0,0
24.4,25.5,24.3,0,0,0
24.2,25.6,24.3,0,0,0
24.2,25.6,24.4,0,0,0
24.3,25.6,24.5,0,0,0
24.2,25.6,24.5,0,0,0
24.1,25.7,24.7,0,0,0
24,25.7,25,0,0,0
24,25.6,25.1,0,0,0
23.9,25.4,25.2,0,0,0
24,25.4,25.2,0,0,0
24,25.4,25.2,0,0,0
24,25.4,25.2,0,0,0
24,25.5,25.3,0,0,0
24,25.5,25.3,0,0,0
24,25.5,25.3,0,0,0
24,25.6,25.3,0,0,0
23.9,25.6,25.2,0,0,0
24.2,25.5,25.2,0,0,0
24.3,25.5,25.1,0,0,0
24.3,25.5,24.9,0,0,0
24.4,25.5,24.9,0,0,0
24.4,25.5,24.9,0,0,0
24.4,25.4,24.9,0,0,0
24.3,25.4,24.9,0,0,0
24.2,25.2,24.9,0,0,0
24,25.2,24.9,0,0,0
24,25.2,24.9,0,0,0
24,25.2,24.9,0,0,0
24,25.1,24.9,0,0,0
24,25.1,24.9,0,0,0
24,25,24.9,0,0,0
24,24.9,24.9,0,0,0
24,24.9,24.8,0,0,0
24,24.9,24.8,0,0,0
23.9,24.9,24.8,0,0,0
23.9,24.9,24.8,0,0,0
23.9,24.9,24.9,0,0,0
23.9,24.9,24.9,0,0,0
23.8,25.1,24.9,0,0,0
23.9,25.1,24.9,0,0,0
24,25.6,24.9,0,0,0
24.1,25.8,24.9,0,0,0
24.3,25.9,24.8,0,0,0
24.6,26,24.8,0,0,0
24.9,26.1,24.8,0,0,0
25.1,26.2,24.9,0,0,0
25.2,26.3,25.1,0,0,0
25.3,26.4,25.1,0,0,0
25.3,26.4,25.1,0,0,0
25.2,26.3,25.1,0,0,0
25.1,26.3,25,0,0,0
25.2,26.2,25,0,0,0
25.3,26.1,25,0,0,0
25.4,26.1,25.1,0,0,0
25.6,25.9,25.1,0,0,0
25.7,25.9,25.2,0,0,0
25.7,25.5,25.1,0,0,0
25.6,25.5,25,0,0,0
25.6,25.5,25,0,0,0
25.5,25.4,25,0,0,0
25.3,25.2,25.1,0,0,0
25.1,25,25.1,0,0,0
25,25,25.3,0,0,0
24.9,24.9,25.3,0,0,0
24.8,24.9,25.4,0,0,0
24.7,24.8,25.4,0,0,0
24.7,24.7,25.3,0,0,0
24.7,24.7,25.1,0,0,0
24.6,24.6,25,0,0,0
24.5,24.6,24.9,0,0,0
24.5,24.7,24.9,0,0,0
24.5,24.7,24.9,0,0,0
24.7,24.7,24.9,0,0,0
24.8,25,25,0,0,0
24.8,24.9,25,0,0,0
24.8,24.8,24.9,0,0,0
24.9,24.8,25,0,0,0
25,24.4,24.9,0,0,0
25,24.4,24.8,0,0,0
24.9,24.4,24.6,0,0,0
24.9,24.4,24.4,0,0,0
24.9,24.4,24.4,0,0,0
25,24.5,24.3,0,1,0
25.1,24.6,24.4,0,3,2
25.3,24.9,24.6,0,7,5
25.4,25.2,24.7,2,12,9
25.6,25.4,25,5,17,13
25.7,25.6,25.1,8,19,17
25.9,25.7,25.3,10,21,19
25.9,25.9,25.5,13,23,23
25.9,26.3,25.7,16,21,29
25.9,26.9,25.8,20,20,35
26,27.3,26.5,25,25,43
26.1,27.7,26.8,33,34,48
26.2,28,27.2,40,40,56
26.5,28.2,27.7,47,50,64
26.6,28.6,28.1,53,71,68
26.8,29.2,28.4,54,89,69
27.1,29.9,28.4,54,97,71
27.3,30.6,28.8,42,108,78
27.4,31.3,29.1,52,134,90
27.7,31.3,29.8,49,164,110
27.7,33.1,29.8,47,181,110
27.7,33.1,31.2,49,177,142
27.8,34.1,31.6,95,172,150
28.5,34.1,32.8,150,172,183
29,34.2,32.8,171,122,226
29.3,33.7,35.2,182,149,252
30,33.7,36.2,191,185,309
30.9,33.7,37.7,201,185,346
31.8,35.5,39.3,210,245,444
32.8,36.5,42,215,288,573
33.6,36.8,45.7,233,235,598
34.8,36.8,47.1,246,224,626
35.8,35.9,49.5,257,213,627
36.7,35.5,51.1,271,215,646
37.3,35.2,51.8,277,192,623
37.8,35.2,52.3,299,177,664
38.7,34.1,53.5,321,151,734
39.6,33.3,54.2,346,162,723
40.4,32.8,55.1,374,171,767
41.4,32.8,55,400,171,599
43,34.2,55.8,498,270,841
45.2,35.4,57.8,478,279,810
46.2,36,58.6,471,298,909
46.6,36,60.7,476,313,947
47.2,37.8,61.3,462,364,697
47,39,61.3,404,407,640
46.6,40.1,59.8,469,456,640
47.1,41.7,55.1,582,483,450
48.4,42.4,51.4,539,482,491
49.3,43.4,51.7,618,509,915
50.9,44,56.4,577,566,979
51.6,45.4,60.8,658,547,1066
52.8,45.6,63.1,641,533,959
53.6,46.5,63.2,707,639,952
55.3,47.7,63.7,873,643,918
58,47.1,64.2,883,561,707
59.4,46.3,58.5,784,668,712
58.3,48.1,58.5,630,678,740
58.5,50,57,916,774,680
59.4,52,56.3,646,774,598
60.1,53.1,55.4,805,750,597
59.5,54.7,55.8,577,779,802
57.2,54.2,57.7,755,645,877
